variable,review_categories_str,count,mean,std,min,25%,50%,75%,max
"Time from 
  delivery carrier to customer",Delivery_Issue,5535.0,462.25378505470235,388.5685191453179,-144.23888888888888,170.8697222222222,361.1769444444444,670.4494444444445,4661.112222222222
"Time from 
  delivery carrier to customer",Delivery_Praise,9278.0,174.35658996191708,132.04345542072363,0.0,76.29048611111111,148.17375,233.0315277777778,1754.8055555555557
"Time from 
  order approval to delivery carrier",Delivery_Issue,5977.0,105.0855247429963,146.2243155667249,-217.10222222222225,26.32,59.4725,118.15444444444444,2432.670833333333
"Time from 
  order approval to delivery carrier",Delivery_Praise,9285.0,55.70863740800574,64.57304420360563,-217.36111111111111,19.075277777777774,35.841944444444444,73.30666666666667,1097.8316666666667
"Time from 
 purchase to order approval",Delivery_Issue,6560.0,12.356037813346884,64.908260514075,0.0,0.21909722222222214,0.36513888888888885,15.951736111111112,4509.180555555556
"Time from 
 purchase to order approval",Delivery_Praise,9292.0,10.183448127421439,20.018290370140097,0.0,0.2144444444444444,0.34,14.392083333333332,299.5177777777778
