product_category_name_english,order_estimated_delivery_span_hours_from_purchase,order_delivered_carrier_span_hours_from_purchase,order_delivered_customer_span_hours_from_purchase,distance_bin_Bin 1,distance_bin_Bin 2,distance_bin_Bin 3,distance_bin_Bin 4,distance_bin_Bin 5,modified_review_score,distance_between_customer_and_seller
agro_industry_and_commerce,444.71855555555555,104.8801388888889,650.29125,2,0,1,2,0,1.2,371.452131794135
air_conditioning,628.094594017094,92.80951388888889,558.5712626262625,1,4,5,3,0,1.1538461538461537,422.6626101603497
art,440.85753968253965,132.55123015873016,304.64629629629627,4,0,0,2,0,1.2857142857142858,257.5977557284886
audio,524.4317063492064,98.36496031746033,608.4984126984127,3,3,6,2,0,1.9285714285714286,375.8460803648903
auto,499.5735992402659,88.05280235988201,446.86177890011226,36,48,12,15,6,1.5897435897435896,336.9373990290015
baby,546.9856555555556,138.7656169250646,602.3084160052911,30,19,32,18,1,1.58,348.1093585892653
bed_bath_table,544.4026250880902,101.97602445394112,477.6874514687101,57,197,83,133,2,1.7420718816067653,378.7818551212961
books_general_interest,481.8894642857143,86.15393939393938,287.8603888888889,6,3,3,2,0,1.6428571428571428,266.1630504123024
books_imported,269.40787037037035,166.1302777777778,253.22,3,0,0,0,0,1.0,51.44565914726132
books_technical,497.04490740740744,72.36101851851852,311.26680555555555,2,3,1,0,0,2.1666666666666665,253.38000696555912
christmas_supplies,650.7231944444444,347.93268518518516,1359.3958333333333,1,1,2,0,0,1.0,278.33491373454115
cine_photo,540.4514814814814,-0.23416666666666666,71.73444444444445,1,2,0,0,0,1.0,185.63334149392438
computers,639.5974074074073,119.27037037037037,504.4904166666667,1,1,0,0,1,1.0,610.429383471172
computers_accessories,601.0582343434344,131.03335042735043,520.1451283846873,40,60,96,57,22,1.7345454545454546,489.73007502513326
consoles_games,627.2510380116959,195.9626164874552,504.5993010752688,11,10,6,7,4,1.8421052631578947,397.8991056935845
construction_tools_construction,545.857572016461,90.20786666666667,494.8381280193236,6,7,3,9,1,1.7777777777777777,426.1107399373832
construction_tools_lights,533.5569191919192,65.78322222222222,381.8900277777778,2,3,5,1,0,1.9090909090909092,353.8081046375306
construction_tools_safety,513.4622916666667,190.69537037037037,302.3383333333333,2,1,0,1,0,1.0,323.3705622967612
cool_stuff,530.7993526785714,102.71398677248678,469.3186052631579,36,32,20,14,7,2.0089285714285716,341.51613334686374
costruction_tools_garden,811.414675925926,130.14894444444445,493.77538888888887,2,0,3,1,0,2.0,311.9558576162904
costruction_tools_tools,555.3952777777778,93.93333333333334,189.35666666666665,0,1,0,0,0,1.0,260.01232786463436
diapers_and_hygiene,528.3997222222222,71.14972222222222,256.8358333333333,0,1,0,0,0,1.0,214.86516263601376
drinks,449.7166865079365,92.81511574074074,391.87569444444443,5,4,5,0,0,1.6428571428571428,248.74541197095667
dvds_blu_ray,559.8936111111111,49.55305555555555,202.39916666666667,1,1,0,0,0,1.0,179.34716464529063
electronics,535.938198005698,62.33126543209877,595.0914331723027,16,19,22,10,8,1.4230769230769231,405.2788570718431
fashio_female_clothing,538.9169444444444,84.93388888888889,668.3355555555555,0,0,2,0,0,1.5,429.3644614112074
fashion_bags_accessories,529.4187404214559,80.05138374485597,422.05192872117397,20,16,13,7,1,1.896551724137931,298.56218422100955
fashion_male_clothing,498.12226851851847,85.8686111111111,531.0868518518519,2,2,0,2,0,1.1666666666666667,332.2025427347955
fashion_shoes,642.369537037037,130.0901851851852,403.5939351851852,0,3,2,1,0,1.5,442.1289986496592
fashion_sport,433.78472222222223,27.109444444444446,97.53527777777778,1,0,0,0,0,3.0,51.76574504946149
fashion_underwear_beach,520.9996825396826,313.48857142857145,732.8277777777779,0,2,4,1,0,1.5714285714285714,386.99869800970697
fixed_telephony,526.4714166666666,230.65922839506175,576.6308333333333,5,5,0,0,0,1.5,176.84097198639284
flowers,582.973611111111,76.70652777777778,568.2259722222223,0,0,0,2,0,3.0,828.5990418685997
food,368.73179738562095,106.74664930555556,595.8264444444445,10,2,5,0,0,1.588235294117647,184.6775418532785
food_drink,553.6843055555555,77.2940873015873,619.1605555555556,2,2,4,0,0,2.25,309.269645154571
furniture_bedroom,462.68944444444446,240.98402777777778,619.1373148148149,0,3,0,1,0,2.25,386.5452960084739
furniture_decor,591.3668309002433,139.55671463632308,497.7618164251208,56,103,69,40,6,1.667883211678832,345.5324758572483
furniture_living_room,549.5062719298246,111.78845029239766,567.9259567901235,3,10,3,2,0,1.9473684210526316,313.7374011220651
furniture_mattress_and_upholstery,399.84277777777777,35.120555555555555,178.7125,1,0,0,0,0,2.0,6.40020573488385
garden_tools,568.4170609318996,87.22657148407148,542.9373922056385,20,30,30,72,3,1.6064516129032258,488.80147345439264
health_beauty,502.7719190997567,119.87927756244616,464.8790756914119,93,65,66,29,20,1.7664233576642336,415.8352896702603
home_appliances,557.0628787878787,101.21611111111112,440.66671568627453,5,7,5,5,0,1.8181818181818181,382.1901978351007
home_appliances_2,546.6387777777778,121.761,419.079,1,2,1,1,0,2.0,337.4974656522222
home_comfort_2,543.55,135.7459722222222,338.0201388888889,0,1,1,0,0,1.0,344.76421331227385
home_confort,502.82267973856204,66.1645588235294,470.2013518518518,2,6,3,6,0,1.9411764705882353,407.07441887475414
home_construction,508.2335576923077,133.27636666666666,545.8045893719807,11,10,3,1,0,1.9230769230769231,196.07968236245412
housewares,523.5756074879228,113.67984625322998,401.67139861111104,76,53,63,35,1,1.8478260869565217,309.9415144036092
industry_commerce_and_business,323.95588888888886,81.3638888888889,597.2409444444445,3,1,1,0,0,2.4,134.04164330180146
kitchen_dining_laundry_garden_furniture,458.44856060606065,122.01355555555556,380.0187847222222,6,0,3,2,0,1.4545454545454546,283.08240686668927
la_cuisine,506.96722222222223,21.84638888888889,140.99972222222223,0,0,0,1,0,1.0,664.0956392267531
luggage_accessories,516.0974206349207,58.147291666666675,443.1111574074074,8,8,4,1,0,1.7619047619047619,242.03728662621913
market_place,617.2089484126984,104.07743055555557,360.3235101010101,5,6,1,2,0,1.9285714285714286,298.3560752269223
music,613.4577777777778,156.77416666666667,367.98833333333334,0,1,0,0,0,1.0,234.48563110599895
musical_instruments,614.9653055555556,189.1928611111111,589.2540138888888,6,6,4,4,0,2.0,311.4159301153393
office_furniture,766.6044771241831,292.60388211382116,624.4664513888889,27,46,11,1,0,1.7529411764705882,240.0942649861025
party_supplies,551.3758333333333,52.36430555555556,224.51611111111112,0,1,0,1,0,3.5,536.7056010709392
perfumery,507.12531078107816,114.03330378250591,464.2216071428571,34,32,21,13,0,1.7722772277227723,286.2885567241434
pet_shop,565.9771961805556,102.82817129629629,396.05544642857143,14,23,16,11,0,1.890625,332.1455037461555
signaling_and_security,483.7677777777778,137.31430555555556,758.19625,2,0,0,3,0,1.8,425.4995756675261
small_appliances,553.3392149758455,127.9460294117647,428.99597222222224,4,8,5,3,3,1.826086956521739,443.14458481697267
sports_leisure,540.4298020944267,92.267188697318,504.3591625666257,66,85,93,59,9,1.6421725239616614,380.79581229258577
stationery,539.6778652968037,86.72260954616588,507.51275132275134,26,18,21,5,1,1.7945205479452055,286.2676792097832
telephony,469.0879033119658,129.19402777777776,412.12779338327096,46,25,19,5,9,2.0673076923076925,316.2284898228837
toys,525.7074466666667,105.14768031189084,515.031529029029,44,29,31,18,1,1.856,290.54404549165423
watches_gifts,536.3985666666666,97.09278650378127,508.06721280602636,60,48,77,15,0,1.645,302.5368879325647
