product_category_name_english,sum
health_beauty,1384783.71
watches_gifts,1285040.7
bed_bath_table,1151657.81
sports_leisure,1084444.87
computers_accessories,936674.78
furniture_decor,778022.46
housewares,702968.38
cool_stuff,702769.4
auto,651009.23
toys,549896.32
garden_tools,521845.18
baby,470598.38
perfumery,438379.81
telephony,372235.46
office_furniture,272126.74
stationery,269777.43
pet_shop,237792.65
computers,215516.48
musical_instruments,203927.8
small_appliances,199677.9
electronics,191658.69
fashion_bags_accessories,180578.6
consoles_games,171330.79
luggage_accessories,166544.62
construction_tools_construction,149439.42
home_appliances_2,123616.65
home_appliances,94725.35
home_construction,87917.13
furniture_living_room,75613.24
agro_industry_and_commerce,69408.72
home_confort,64330.07
audio,55339.5
books_general_interest,53785.74
kitchen_dining_laundry_garden_furniture,52306.99
air_conditioning,51836.38
small_appliances_home_oven_and_coffee,50193.57
industry_commerce_and_business,44724.72
construction_tools_lights,44112.56
construction_tools_safety,40241.11
fixed_telephony,39552.08
food,33710.73
market_place,31955.93
fashion_shoes,28287.07
art,27736.71
costruction_tools_garden,27683.89
books_technical,23216.6
furniture_bedroom,21796.42
drinks,21671.35
signaling_and_security,19524.1
food_drink,17648.58
costruction_tools_tools,16366.720000000001
fashion_male_clothing,12224.03
fashion_underwear_beach,11031.8
christmas_supplies,10508.1
tablets_printing_image,8342.1
cine_photo,7910.54
dvds_blu_ray,7177.42
music,6724.86
furniture_mattress_and_upholstery,5998.54
books_imported,5324.4
party_supplies,5043.21
fashio_female_clothing,3058.9
fashion_sport,2501.05
la_cuisine,2221.48
arts_and_craftmanship,2184.1400000000003
diapers_and_hygiene,1672.75
flowers,1389.84
home_comfort_2,1009.53
cds_dvds_musicals,832.77
fashion_childrens_clothes,665.36
security_and_services,324.51
